ASVs,OTUs,Groups
ASV1,99904,2021_BJ
ASV2,66977,2021_BJ
ASV3,100951,2021_BJ
ASV4,72943,2021_BJ
ASV5,67569,2021_BJ
ASV6,15,2021_BJ
ASV7,19150,2021_BJ
ASV8,33181,2021_BJ
ASV9,14272,2021_BJ
ASV10,10242,2021_BJ
ASV11,27162,2021_BJ
ASV12,0,2021_BJ
ASV13,12120,2021_BJ
ASV14,7203,2021_BJ
ASV15,456,2021_BJ
ASV1,202580,2021_WLD
ASV2,30214,2021_WLD
ASV3,106366,2021_WLD
ASV4,74627,2021_WLD
ASV5,38397,2021_WLD
ASV6,330291,2021_WLD
ASV7,62861,2021_WLD
ASV8,16430,2021_WLD
ASV9,13186,2021_WLD
ASV10,2938,2021_WLD
ASV11,7837,2021_WLD
ASV12,0,2021_WLD
ASV13,1053,2021_WLD
ASV14,1754,2021_WLD
ASV15,12,2021_WLD
ASV1,20317,2021_WZ
ASV2,30503,2021_WZ
ASV3,176098,2021_WZ
ASV4,57759,2021_WZ
ASV5,79030,2021_WZ
ASV6,9845,2021_WZ
ASV7,21350,2021_WZ
ASV8,36770,2021_WZ
ASV9,10963,2021_WZ
ASV10,8270,2021_WZ
ASV11,12633,2021_WZ
ASV12,0,2021_WZ
ASV13,20071,2021_WZ
ASV14,19966,2021_WZ
ASV15,2583,2021_WZ
ASV1,117985,2021_MW
ASV2,135041,2021_MW
ASV3,115871,2021_MW
ASV4,75637,2021_MW
ASV5,110168,2021_MW
ASV6,199,2021_MW
ASV7,19052,2021_MW
ASV8,38113,2021_MW
ASV9,15071,2021_MW
ASV10,10658,2021_MW
ASV11,14541,2021_MW
ASV12,78,2021_MW
ASV13,3991,2021_MW
ASV14,12485,2021_MW
ASV15,163,2021_MW
ASV1,43562,2021_HLDB
ASV2,152808,2021_HLDB
ASV3,22918,2021_HLDB
ASV4,36927,2021_HLDB
ASV5,40276,2021_HLDB
ASV6,513,2021_HLDB
ASV7,19729,2021_HLDB
ASV8,14384,2021_HLDB
ASV9,9910,2021_HLDB
ASV10,7137,2021_HLDB
ASV11,484,2021_HLDB
ASV12,72,2021_HLDB
ASV13,2320,2021_HLDB
ASV14,240,2021_HLDB
ASV15,11,2021_HLDB
ASV1,78656,2021_HLDN
ASV2,160723,2021_HLDN
ASV3,42315,2021_HLDN
ASV4,62283,2021_HLDN
ASV5,68000,2021_HLDN
ASV6,967,2021_HLDN
ASV7,32686,2021_HLDN
ASV8,21505,2021_HLDN
ASV9,16760,2021_HLDN
ASV10,10866,2021_HLDN
ASV11,851,2021_HLDN
ASV12,128,2021_HLDN
ASV13,3589,2021_HLDN
ASV14,561,2021_HLDN
ASV15,24,2021_HLDN
